Hello. CMS --- ATLAS
Debug 11
4846 0 0
3952 0 1
3159 0 2
2692 0 3
2179 0 4
15342 0 5
0 0 6
5850 0 7
4768 1 0
3925 1 1
3185 1 2
2630 1 3
2190 1 4
15293 1 5
0 1 6
5734 1 7
4727 2 0
3928 2 1
3186 2 2
2571 2 3
2250 2 4
15410 2 5
0 2 6
5685 2 7
4705 3 0
3981 3 1
3183 3 2
2723 3 3
2255 3 4
15475 3 5
0 3 6
5715 3 7
4713 4 0
3939 4 1
3138 4 2
2741 4 3
2183 4 4
15787 4 5
0 4 6
5668 4 7
4696 5 0
3951 5 1
3363 5 2
2729 5 3
2226 5 4
16070 5 5
0 5 6
5609 5 7
4754 6 0
3955 6 1
3385 6 2
2731 6 3
2293 6 4
15930 6 5
0 6 6
5738 6 7
4798 7 0
3930 7 1
3345 7 2
2797 7 3
2188 7 4
16290 7 5
0 7 6
5806 7 7
4879 8 0
4016 8 1
3234 8 2
2648 8 3
2294 8 4
16486 8 5
0 8 6
5592 8 7
4833 9 0
3918 9 1
3261 9 2
2795 9 3
2272 9 4
16247 9 5
0 9 6
5685 9 7
4692 10 0
3948 10 1
3278 10 2
2807 10 3
2199 10 4
16223 10 5
0 10 6
5672 10 7
4895 11 0
4125 11 1
3208 11 2
2664 11 3
2385 11 4
16333 11 5
0 11 6
5639 11 7
4846 12 0
3850 12 1
3247 12 2
2708 12 3
2221 12 4
16408 12 5
0 12 6
5735 12 7
4816 13 0
3938 13 1
3204 13 2
2804 13 3
2282 13 4
16317 13 5
0 13 6
5596 13 7
4730 14 0
3839 14 1
3287 14 2
2676 14 3
2175 14 4
15948 14 5
0 14 6
5491 14 7
4758 15 0
3877 15 1
3205 15 2
2559 15 3
2173 15 4
15678 15 5
0 15 6
5729 15 7
4871 16 0
4035 16 1
3167 16 2
2658 16 3
2307 16 4
15527 16 5
0 16 6
5673 16 7
4789 17 0
3821 17 1
3217 17 2
2591 17 3
2235 17 4
15394 17 5
0 17 6
5627 17 7
4727 18 0
3912 18 1
3225 18 2
2633 18 3
2236 18 4
15396 18 5
0 18 6
5720 18 7
4719 19 0
3939 19 1
3195 19 2
2658 19 3
2254 19 4
15373 19 5
0 19 6
5716 19 7
4751 20 0
3912 20 1
3283 20 2
2663 20 3
2103 20 4
15708 20 5
0 20 6
5757 20 7
4722 21 0
3936 21 1
3116 21 2
2668 21 3
2243 21 4
15609 21 5
0 21 6
5665 21 7
4736 22 0
3901 22 1
3261 22 2
2636 22 3
2146 22 4
15821 22 5
0 22 6
5752 22 7
4634 23 0
4043 23 1
3251 23 2
2677 23 3
2208 23 4
15981 23 5
0 23 6
5645 23 7
4690 24 0
3945 24 1
3236 24 2
2692 24 3
2215 24 4
16218 24 5
0 24 6
5633 24 7
4722 25 0
4029 25 1
3194 25 2
2599 25 3
2248 25 4
16360 25 5
0 25 6
5698 25 7
4787 26 0
4011 26 1
3294 26 2
2701 26 3
2334 26 4
16464 26 5
0 26 6
5767 26 7
4652 27 0
4011 27 1
3274 27 2
2726 27 3
2371 27 4
16709 27 5
0 27 6
5655 27 7
4795 28 0
3874 28 1
3408 28 2
2723 28 3
2278 28 4
16759 28 5
0 28 6
5733 28 7
4765 29 0
3906 29 1
3292 29 2
2650 29 3
2287 29 4
17113 29 5
0 29 6
5623 29 7
4779 30 0
3942 30 1
3224 30 2
2775 30 3
2285 30 4
17030 30 5
0 30 6
5689 30 7
4643 31 0
3859 31 1
3308 31 2
2768 31 3
2285 31 4
16808 31 5
0 31 6
5705 31 7
4676 32 0
3932 32 1
3228 32 2
2865 32 3
2275 32 4
16871 32 5
0 32 6
5709 32 7
4750 33 0
3907 33 1
3237 33 2
2764 33 3
2198 33 4
16676 33 5
0 33 6
5578 33 7
4768 34 0
3863 34 1
3149 34 2
2766 34 3
2226 34 4
16344 34 5
0 34 6
5753 34 7
4838 35 0
3958 35 1
3183 35 2
2729 35 3
2256 35 4
15979 35 5
0 35 6
5719 35 7
4766 36 0
3905 36 1
3186 36 2
2744 36 3
2169 36 4
15815 36 5
0 36 6
5673 36 7
4837 37 0
3902 37 1
3283 37 2
2603 37 3
2244 37 4
15928 37 5
0 37 6
5653 37 7
4805 38 0
3929 38 1
3212 38 2
2696 38 3
2228 38 4
15752 38 5
0 38 6
5782 38 7
4724 39 0
3940 39 1
3303 39 2
2682 39 3
2161 39 4
15522 39 5
0 39 6
5845 39 7
4786 40 0
3951 40 1
3188 40 2
2703 40 3
2257 40 4
15909 40 5
0 40 6
5718 40 7
4851 41 0
3945 41 1
3256 41 2
2774 41 3
2232 41 4
15922 41 5
0 41 6
5788 41 7
4806 42 0
4014 42 1
3274 42 2
2641 42 3
2214 42 4
16039 42 5
0 42 6
5619 42 7
4877 43 0
3823 43 1
3282 43 2
2694 43 3
2211 43 4
16197 43 5
0 43 6
5575 43 7
4886 44 0
3976 44 1
3258 44 2
2710 44 3
2302 44 4
16332 44 5
0 44 6
5629 44 7
4831 45 0
3949 45 1
3273 45 2
2718 45 3
2277 45 4
16569 45 5
0 45 6
5746 45 7
4676 46 0
3867 46 1
3386 46 2
2678 46 3
2293 46 4
16866 46 5
0 46 6
5719 46 7
4790 47 0
3930 47 1
3337 47 2
2709 47 3
2221 47 4
17000 47 5
0 47 6
5474 47 7
4771 48 0
4028 48 1
3246 48 2
2670 48 3
2265 48 4
17229 48 5
0 48 6
5570 48 7
4621 49 0
3825 49 1
3302 49 2
2734 49 3
2321 49 4
17242 49 5
0 49 6
5673 49 7
4881 50 0
3959 50 1
3212 50 2
2685 50 3
2270 50 4
17434 50 5
0 50 6
5511 50 7
4924 51 0
4023 51 1
3236 51 2
2785 51 3
2299 51 4
17275 51 5
0 51 6
5639 51 7
4747 52 0
3932 52 1
3311 52 2
2763 52 3
2342 52 4
17056 52 5
0 52 6
5591 52 7
4814 53 0
3889 53 1
3356 53 2
2793 53 3
2260 53 4
16892 53 5
0 53 6
5766 53 7
4677 54 0
3904 54 1
3267 54 2
2679 54 3
2220 54 4
16492 54 5
0 54 6
5632 54 7
4816 55 0
3890 55 1
3140 55 2
2732 55 3
2273 55 4
16251 55 5
0 55 6
5723 55 7
4759 56 0
3963 56 1
3305 56 2
2689 56 3
2281 56 4
16198 56 5
0 56 6
5804 56 7
4948 57 0
4014 57 1
3216 57 2
2690 57 3
2304 57 4
15993 57 5
0 57 6
5636 57 7
4795 58 0
3865 58 1
3163 58 2
2712 58 3
2224 58 4
15890 58 5
0 58 6
5816 58 7
4694 59 0
3898 59 1
3238 59 2
2773 59 3
2202 59 4
16191 59 5
0 59 6
5725 59 7
4796 60 0
3907 60 1
3233 60 2
2756 60 3
2225 60 4
16076 60 5
0 60 6
5630 60 7
4907 61 0
3969 61 1
3222 61 2
2671 61 3
2279 61 4
16140 61 5
0 61 6
5760 61 7
4802 62 0
3868 62 1
3228 62 2
2662 62 3
2260 62 4
16375 62 5
0 62 6
5769 62 7
4762 63 0
3968 63 1
3276 63 2
2754 63 3
2238 63 4
16623 63 5
0 63 6
5707 63 7
4820 64 0
