# Weighting function to calculate f_eff by the integral
#
#    f_eff = f_eff(z)*W(z) d[ln(z+1)]
#
# as presented in https://arxiv.org/abs/1506.03811
#
# Table taken from https://faun.rc.fas.harvard.edu/epsilon/detaileddeposition/annihilation/dat/weighting_function.dat [accesed on March 08, 2021]
#
#    z+1        W(z+1)
     11.9184     -0.0093
     13.0115     -0.0091
     14.2049     -0.0089
     15.5077     -0.0087
     16.9300     -0.0084
     18.4828     -0.0082
     20.1779     -0.0079
     22.0286     -0.0076
     24.0489     -0.0073
     26.2546     -0.0069
     28.6625     -0.0065
     31.2913     -0.0061
     34.1613     -0.0056
     37.2944     -0.0051
     40.7149     -0.0045
     44.4491     -0.0039
     48.5257     -0.0032
     52.9763     -0.0025
     57.8351     -0.0017
     63.1394     -0.0008
     68.9303      0.0001
     75.2523      0.0012
     82.1541      0.0023
     89.6889      0.0035
     97.9148      0.0051
    106.8952      0.0072
    116.6991      0.0102
    127.4023      0.0141
    139.0871      0.0194
    151.8435      0.0265
    165.7700      0.0359
    180.9737      0.0482
    197.5718      0.0642
    215.6922      0.0852
    235.4746      0.1125
    257.0713      0.1480
    280.6488      0.1953
    306.3887      0.2577
    334.4893      0.3401
    365.1673      0.4491
    398.6589      0.5874
    435.2221      0.7583
    475.1389      0.9545
    518.7166      1.1595
    566.2910      1.3364
    618.2288      1.4392
    674.9301      1.3757
    736.8317      1.1203
    804.4108      0.6857
    878.1879      0.2921
    958.7315      0.0383
   1046.6622     -0.0424
   1142.6576     -0.0126
   1247.4573      0.0000
   1361.8687      0.0000
   1486.7734      0.0000
   1623.1339      0.0000
   1772.0007      0.0000
   1934.5211      0.0000
   2111.9470      0.0000
   2305.6458      0.0000
   2517.1096      0.0000
   2747.9683      0.0000
