# mass/kev	sin^2 2\theta
#
4.068221e+01	8.646060e-15
4.625936e+01	5.501650e-15
4.887224e+01	3.036600e-15
5.356342e+01	1.497040e-15
5.816812e+01	7.379980e-16
6.433940e+01	3.537260e-16
7.658839e+01	1.431570e-16
8.471600e+01	7.470710e-17
9.545050e+01	5.031520e-17
1.017922e+02	5.481220e-17
1.056036e+02	5.802780e-17
1.065842e+02	7.075640e-17
1.115820e+02	4.898770e-17
1.168198e+02	4.019780e-17
1.245742e+02	3.591650e-17
1.328444e+02	3.301310e-17
1.352867e+02	1.928010e-17
1.403275e+02	1.094770e-17
1.442297e+02	6.961250e-18
1.537936e+02	4.959240e-18
1.624987e+02	4.069980e-18
1.701239e+02	3.155970e-18
1.831173e+02	4.694980e-18
1.882186e+02	3.538300e-18
1.916914e+02	2.591900e-18
2.006864e+02	2.009860e-18
2.120287e+02	1.242770e-18
2.219745e+02	9.106510e-19
2.345407e+02	7.688520e-19
2.547385e+02	6.135900e-19
2.642662e+02	5.638600e-19
2.692095e+02	9.935120e-19
2.767069e+02	7.278720e-19
2.844268e+02	6.319930e-19
2.870377e+02	5.333150e-19
2.950149e+02	3.204820e-19
3.060317e+02	2.415640e-19
3.174804e+02	2.283630e-19
3.293388e+02	1.770740e-19
3.480027e+02	1.822750e-19
3.544409e+02	1.582500e-19
3.677214e+02	1.823910e-19
3.745244e+02	1.583510e-19
3.745395e+02	1.824290e-19
3.815087e+02	2.288460e-19
3.922063e+02	3.215250e-19
3.993818e+02	1.375540e-19
3.994301e+02	2.103250e-19
4.030316e+02	1.007590e-19
4.142659e+02	8.036520e-20
4.297463e+02	6.594730e-20
4.499192e+02	5.412200e-20
4.667507e+02	5.116540e-20
4.886567e+02	4.081910e-20
5.069252e+02	3.544750e-20
5.307252e+02	2.992700e-20
5.607566e+02	2.321190e-20
5.925257e+02	2.257910e-20
6.090764e+02	2.195620e-20
6.260542e+02	1.751290e-20
6.376365e+02	1.520520e-20
6.799402e+02	1.213360e-20
