# mass/kev	sin^2 2\theta
#
1.375702e+00	8.912570e-07
1.446734e+00	7.477080e-07
1.488894e+00	5.002570e-07
1.521272e+00	3.103840e-07
1.532199e+00	2.414290e-07
1.554323e+00	1.741640e-07
1.611220e+00	1.656640e-07
1.670169e+00	1.425110e-07
1.718896e+00	1.355500e-07
1.756366e+00	1.289230e-07
1.820713e+00	1.462140e-07
1.846904e+00	8.846710e-08
1.846978e+00	1.081630e-07
1.887177e+00	8.847920e-08
1.928339e+00	9.074280e-08
1.956154e+00	6.883650e-08
1.998672e+00	5.092550e-08
1.998717e+00	5.630970e-08
2.042342e+00	6.227160e-08
2.101643e+00	3.494620e-08
2.101768e+00	4.492800e-08
2.131908e+00	2.521090e-08
2.178244e+00	1.961260e-08
2.290367e+00	1.248180e-08
2.323259e+00	8.143800e-09
2.356792e+00	7.004920e-09
2.443088e+00	7.944580e-09
2.478344e+00	6.833580e-09
2.532198e+00	5.590180e-09
2.587273e+00	4.931050e-09
2.662521e+00	3.933970e-09
2.701599e+00	7.560650e-09
2.720206e+00	2.699220e-09
2.759174e+00	1.717480e-09
2.778729e+00	1.178290e-09
2.880795e+00	1.947990e-09
2.965414e+00	3.744150e-09
3.072257e+00	8.295570e-10
3.072847e+00	1.441700e-09
3.093882e+00	5.147240e-10
3.183337e+00	2.817270e-10
3.252398e+00	2.304750e-10
3.347418e+00	2.890130e-10
3.396273e+00	4.108740e-10
3.470683e+00	5.841490e-10
3.623504e+00	5.992150e-10
3.650125e+00	8.518120e-10
3.703560e+00	1.305740e-09
3.704009e+00	1.765110e-09
3.784142e+00	1.241970e-09
3.866194e+00	9.908250e-10
4.036720e+00	1.181700e-09
4.125306e+00	1.722740e-09
4.185544e+00	2.329050e-09
4.216275e+00	3.148560e-09
4.216693e+00	3.947250e-09
4.308751e+00	4.365160e-09
4.400776e+00	1.723590e-09
4.431791e+00	1.212640e-09
4.433509e+00	2.848640e-09
4.434115e+00	3.850760e-09
4.462149e+00	5.566420e-10
4.463170e+00	9.199330e-10
4.493321e+00	3.454060e-10
4.590180e+00	2.198090e-10
4.622273e+00	1.398660e-10
4.722316e+00	1.088190e-10
4.894962e+00	1.144600e-10
4.966334e+00	1.471610e-10
5.002413e+00	1.668640e-10
5.076248e+00	3.049440e-10
5.111931e+00	2.145490e-10
5.113329e+00	3.728320e-10
5.187798e+00	4.558590e-10
5.337172e+00	2.373090e-10
5.337785e+00	2.975020e-10
5.374658e+00	1.669640e-10
5.377067e+00	4.021750e-10
5.569443e+00	9.611140e-11
5.854952e+00	6.118120e-11
6.067495e+00	4.094760e-11
6.200105e+00	4.882770e-11
6.380982e+00	5.400150e-11
6.566585e+00	5.136900e-11
6.805451e+00	3.997270e-11
7.053698e+00	3.708340e-11
7.156171e+00	4.205050e-11
7.259052e+00	3.709280e-11
7.310879e+00	3.354970e-11
7.578348e+00	3.710710e-11
7.799219e+00	3.902850e-11
7.910701e+00	3.036460e-11
8.081907e+00	2.547440e-11
8.437629e+00	2.679700e-11
8.807720e+00	2.248580e-11
8.808297e+00	2.486190e-11
8.935139e+00	2.306070e-11
9.193697e+00	1.794410e-11
9.526659e+00	1.171270e-11
9.801561e+00	8.243050e-12
9.941093e+00	6.099220e-12
1.022785e+01	4.292490e-12
1.044747e+01	2.945850e-12
1.075313e+01	3.693890e-12
1.075428e+01	4.294560e-12
1.098988e+01	5.384680e-12
1.114661e+01	4.189510e-12
1.155472e+01	4.872430e-12
1.172161e+01	4.873110e-12
1.206131e+01	4.192690e-12
1.251172e+01	1.234720e-11
1.269103e+01	1.062170e-11
1.296356e+01	7.475000e-12
1.324521e+01	7.291120e-12
