# mass/kev	sin^2 2\theta
#
6.106675e+00	1.112630e-10
6.178379e+00	9.019550e-11
6.287516e+00	6.978450e-11
6.436037e+00	6.210160e-11
6.665422e+00	6.356480e-11
7.066041e+00	8.215290e-11
7.317880e+00	1.471870e-10
7.534589e+00	1.112500e-10
7.757715e+00	8.025280e-11
7.987449e+00	6.816040e-11
8.369258e+00	5.788850e-11
8.517095e+00	4.175800e-11
8.667544e+00	3.156080e-11
8.769317e+00	1.979260e-11
8.976462e+00	1.642200e-11
9.029008e+00	1.270480e-11
9.242287e+00	1.184530e-11
9.350809e+00	1.270370e-11
9.684079e+00	1.330950e-11
1.008793e+01	1.240850e-11
1.044748e+01	1.300030e-11
1.069426e+01	1.802180e-11
1.088317e+01	2.171970e-11
1.140340e+01	2.557130e-11
1.187895e+01	2.440350e-11
1.230233e+01	2.383920e-11
1.251964e+01	1.977870e-11
1.274079e+01	1.640980e-11
1.281537e+01	1.887590e-11
1.289039e+01	2.328730e-11
1.334982e+01	2.940660e-11
1.374515e+01	3.009950e-11
1.382561e+01	2.024180e-11
1.390655e+01	7.595250e-12
1.415220e+01	2.153680e-12
1.431837e+01	8.271550e-13
1.457129e+01	6.549240e-13
1.500280e+01	8.079010e-13
1.526782e+01	1.020210e-12
1.544709e+01	1.381790e-12
1.590453e+01	1.447650e-12
1.609128e+01	1.201010e-12
1.637552e+01	5.558890e-13
1.686046e+01	3.737580e-13
1.705843e+01	2.289170e-13
1.746138e+01	2.572230e-13
1.756360e+01	3.028710e-13
1.797847e+01	3.403240e-13
1.808372e+01	2.958370e-13
1.829605e+01	2.889920e-13
1.861924e+01	2.511970e-13
1.894814e+01	2.235020e-13
1.905906e+01	2.035700e-13
1.950926e+01	1.942580e-13
2.020459e+01	1.502320e-13
2.044182e+01	1.275730e-13
2.056149e+01	1.033930e-13
2.092469e+01	1.161820e-13
2.117039e+01	1.537380e-13
2.129431e+01	1.537320e-13
2.154435e+01	1.189050e-13
2.205326e+01	1.009630e-13
2.218235e+01	8.573670e-14
2.283925e+01	6.787130e-14
2.324269e+01	4.781180e-14
2.337875e+01	4.060090e-14
2.365326e+01	2.927780e-14
2.435372e+01	3.213700e-14
2.449628e+01	3.696840e-14
2.507492e+01	4.560620e-14
2.536934e+01	4.778260e-14
2.566723e+01	4.454630e-14
2.612062e+01	4.454090e-14
2.642733e+01	4.056570e-14
2.689415e+01	2.483930e-14
2.720994e+01	2.663940e-14
2.834467e+01	2.923880e-14
2.851060e+01	3.607590e-14
2.884537e+01	4.663810e-14
2.918406e+01	3.868740e-14
2.952674e+01	3.062760e-14
3.004831e+01	3.441670e-14
3.075810e+01	4.245970e-14
3.093815e+01	5.362710e-14
3.130142e+01	6.772890e-14
3.148465e+01	7.611500e-14
3.185434e+01	6.313880e-14
3.241702e+01	5.617330e-14
3.298965e+01	6.312380e-14
3.396659e+01	6.311140e-14
3.416542e+01	5.883840e-14
3.436542e+01	5.114270e-14
3.517719e+01	4.144030e-14
3.643093e+01	3.601240e-14
3.707446e+01	2.596460e-14
3.750978e+01	3.057410e-14
3.839582e+01	3.278770e-14
3.884665e+01	2.783970e-14
3.953285e+01	2.309150e-14
3.976427e+01	1.019470e-14
4.046668e+01	2.203360e-14
4.094183e+01	2.308540e-14
4.190894e+01	1.551660e-14
4.240103e+01	2.254640e-14
4.264924e+01	8.452050e-15
4.340261e+01	4.824050e-15
4.442785e+01	6.534510e-15
4.494951e+01	1.587450e-14
4.601129e+01	2.004840e-14
4.628063e+01	9.059450e-15
4.682405e+01	1.347540e-14
4.709815e+01	7.005400e-15
4.793010e+01	7.690470e-15
4.877676e+01	5.544230e-15
4.906229e+01	3.556630e-15
5.022121e+01	2.177060e-15
5.051520e+01	9.939670e-15
5.170844e+01	1.867450e-14
5.201113e+01	4.285310e-15
5.355137e+01	8.050800e-15
5.481634e+01	3.811030e-15
5.545998e+01	2.684020e-15
5.743662e+01	2.649180e-14
5.913752e+01	1.681000e-15
6.053444e+01	5.664610e-15
6.160374e+01	2.122650e-15
6.342805e+01	1.821440e-14
6.492632e+01	2.384540e-15
6.607320e+01	1.887310e-15
6.802987e+01	3.305980e-15
6.882866e+01	2.274400e-15
7.086693e+01	3.714360e-15
7.169903e+01	1.238260e-15
7.339268e+01	1.563900e-15
7.425444e+01	1.075870e-15
7.871744e+01	1.075240e-15
7.964173e+01	2.552810e-15
8.104855e+01	1.074920e-15
8.642286e+01	1.049410e-15
8.898215e+01	1.151920e-15
9.055397e+01	1.048910e-15
9.488254e+01	1.073220e-15
9.941803e+01	1.072710e-15
