#m_a [GeV]  T_R [GeV]  Omega h^2
1.000e-04  1.000e-03  4.795e-01  
1.096e-04  1.000e-03  5.234e-01  
1.202e-04  1.000e-03  5.709e-01  
1.318e-04  1.000e-03  6.221e-01  
1.445e-04  1.000e-03  6.774e-01  
1.585e-04  1.000e-03  7.368e-01  
1.738e-04  1.000e-03  8.005e-01  
1.905e-04  1.000e-03  8.686e-01  
2.089e-04  1.000e-03  9.412e-01  
2.291e-04  1.000e-03  1.018e+00  
2.512e-04  1.000e-03  1.100e+00  
2.754e-04  1.000e-03  1.186e+00  
3.020e-04  1.000e-03  1.277e+00  
3.311e-04  1.000e-03  1.371e+00  
3.631e-04  1.000e-03  1.469e+00  
3.981e-04  1.000e-03  1.570e+00  
4.365e-04  1.000e-03  1.673e+00  
4.786e-04  1.000e-03  1.779e+00  
5.248e-04  1.000e-03  1.884e+00  
5.754e-04  1.000e-03  1.988e+00  
6.310e-04  1.000e-03  2.091e+00  
6.918e-04  1.000e-03  2.189e+00  
7.586e-04  1.000e-03  2.281e+00  
8.318e-04  1.000e-03  2.365e+00  
9.120e-04  1.000e-03  2.438e+00  
1.000e-03  1.000e-03  2.499e+00  
1.096e-03  1.000e-03  2.545e+00  
1.202e-03  1.000e-03  2.572e+00  
1.318e-03  1.000e-03  2.580e+00  
1.445e-03  1.000e-03  2.566e+00  
1.585e-03  1.000e-03  2.528e+00  
1.738e-03  1.000e-03  2.466e+00  
1.905e-03  1.000e-03  2.378e+00  
2.089e-03  1.000e-03  2.266e+00  
2.291e-03  1.000e-03  2.130e+00  
2.512e-03  1.000e-03  1.972e+00  
2.754e-03  1.000e-03  1.797e+00  
3.020e-03  1.000e-03  1.609e+00  
3.311e-03  1.000e-03  1.411e+00  
3.631e-03  1.000e-03  1.211e+00  
3.981e-03  1.000e-03  1.015e+00  
4.365e-03  1.000e-03  8.280e-01  
4.786e-03  1.000e-03  6.554e-01  
5.248e-03  1.000e-03  5.014e-01  
5.754e-03  1.000e-03  3.700e-01  
6.310e-03  1.000e-03  2.619e-01  
6.918e-03  1.000e-03  1.770e-01  
7.586e-03  1.000e-03  1.135e-01  
8.318e-03  1.000e-03  6.882e-02  
9.120e-03  1.000e-03  3.914e-02  
1.000e-02  1.000e-03  2.073e-02  
1.096e-02  1.000e-03  1.014e-02  
1.202e-02  1.000e-03  4.553e-03  
1.318e-02  1.000e-03  1.856e-03  
1.445e-02  1.000e-03  6.793e-04  
1.585e-02  1.000e-03  2.210e-04  
1.738e-02  1.000e-03  6.319e-05  
1.905e-02  1.000e-03  1.568e-05  
2.089e-02  1.000e-03  3.359e-06  
2.291e-02  1.000e-03  6.404e-07  
2.512e-02  1.000e-03  1.015e-07  
2.754e-02  1.000e-03  1.209e-08  
3.020e-02  1.000e-03  1.142e-09  
3.311e-02  1.000e-03  8.367e-11  
3.631e-02  1.000e-03  4.638e-12  
3.981e-02  1.000e-03  1.893e-13  
4.365e-02  1.000e-03  5.517e-15  
4.786e-02  1.000e-03  1.112e-16  
5.248e-02  1.000e-03  1.495e-18  
5.754e-02  1.000e-03  1.289e-20  
6.310e-02  1.000e-03  6.826e-23  
6.918e-02  1.000e-03  2.118e-25  
7.586e-02  1.000e-03  3.656e-28  
8.318e-02  1.000e-03  3.318e-31  
9.120e-02  1.000e-03  1.487e-34  
1.000e-01  1.000e-03  3.075e-38  
1.096e-01  1.000e-03  2.723e-42  
1.202e-01  1.000e-03  9.509e-47  
1.318e-01  1.000e-03  1.197e-51  
1.445e-01  1.000e-03  4.927e-57  
1.585e-01  1.000e-03  5.945e-63  
1.738e-01  1.000e-03  1.869e-69  
1.905e-01  1.000e-03  1.344e-76  
2.089e-01  1.000e-03  1.919e-84  
2.291e-01  1.000e-03  4.649e-93  
2.512e-01  1.000e-03  1.612e-102  
2.754e-01  1.000e-03  6.624e-113  
3.020e-01  1.000e-03  2.628e-124  
3.311e-01  1.000e-03  8.033e-137  
3.631e-01  1.000e-03  1.477e-150  
3.981e-01  1.000e-03  1.245e-165  
4.365e-01  1.000e-03  3.577e-182  
4.786e-01  1.000e-03  2.526e-200  
5.248e-01  1.000e-03  3.066e-220  
5.754e-01  1.000e-03  4.326e-242  
6.310e-01  1.000e-03  4.613e-266  
6.918e-01  1.000e-03  0.000e+00  
7.586e-01  1.000e-03  0.000e+00  
8.318e-01  1.000e-03  0.000e+00  
9.120e-01  1.000e-03  0.000e+00  
1.000e+00  1.000e-03  0.000e+00  
1.000e-04  1.096e-03  5.344e-01  
1.096e-04  1.096e-03  5.836e-01  
1.202e-04  1.096e-03  6.369e-01  
1.318e-04  1.096e-03  6.945e-01  
1.445e-04  1.096e-03  7.567e-01  
1.585e-04  1.096e-03  8.237e-01  
1.738e-04  1.096e-03  8.957e-01  
1.905e-04  1.096e-03  9.730e-01  
2.089e-04  1.096e-03  1.056e+00  
2.291e-04  1.096e-03  1.144e+00  
2.512e-04  1.096e-03  1.237e+00  
2.754e-04  1.096e-03  1.336e+00  
3.020e-04  1.096e-03  1.441e+00  
3.311e-04  1.096e-03  1.551e+00  
3.631e-04  1.096e-03  1.665e+00  
3.981e-04  1.096e-03  1.784e+00  
4.365e-04  1.096e-03  1.907e+00  
4.786e-04  1.096e-03  2.034e+00  
5.248e-04  1.096e-03  2.162e+00  
5.754e-04  1.096e-03  2.291e+00  
6.310e-04  1.096e-03  2.419e+00  
6.918e-04  1.096e-03  2.545e+00  
7.586e-04  1.096e-03  2.666e+00  
8.318e-04  1.096e-03  2.780e+00  
9.120e-04  1.096e-03  2.885e+00  
1.000e-03  1.096e-03  2.977e+00  
1.096e-03  1.096e-03  3.054e+00  
1.202e-03  1.096e-03  3.114e+00  
1.318e-03  1.096e-03  3.152e+00  
1.445e-03  1.096e-03  3.166e+00  
1.585e-03  1.096e-03  3.154e+00  
1.738e-03  1.096e-03  3.112e+00  
1.905e-03  1.096e-03  3.040e+00  
2.089e-03  1.096e-03  2.937e+00  
2.291e-03  1.096e-03  2.803e+00  
2.512e-03  1.096e-03  2.640e+00  
2.754e-03  1.096e-03  2.449e+00  
3.020e-03  1.096e-03  2.236e+00  
3.311e-03  1.096e-03  2.005e+00  
3.631e-03  1.096e-03  1.762e+00  
3.981e-03  1.096e-03  1.516e+00  
4.365e-03  1.096e-03  1.273e+00  
4.786e-03  1.096e-03  1.040e+00  
5.248e-03  1.096e-03  8.240e-01  
5.754e-03  1.096e-03  6.320e-01  
6.310e-03  1.096e-03  4.670e-01  
6.918e-03  1.096e-03  3.310e-01  
7.586e-03  1.096e-03  2.238e-01  
8.318e-03  1.096e-03  1.439e-01  
9.120e-03  1.096e-03  8.735e-02  
1.000e-02  1.096e-03  4.973e-02  
1.096e-02  1.096e-03  2.634e-02  
1.202e-02  1.096e-03  1.292e-02  
1.318e-02  1.096e-03  5.802e-03  
1.445e-02  1.096e-03  2.366e-03  
1.585e-02  1.096e-03  8.664e-04  
1.738e-02  1.096e-03  2.823e-04  
1.905e-02  1.096e-03  8.075e-05  
2.089e-02  1.096e-03  2.004e-05  
2.291e-02  1.096e-03  4.297e-06  
2.512e-02  1.096e-03  8.204e-07  
2.754e-02  1.096e-03  1.309e-07  
3.020e-02  1.096e-03  1.559e-08  
3.311e-02  1.096e-03  1.474e-09  
3.631e-02  1.096e-03  1.080e-10  
3.981e-02  1.096e-03  5.990e-12  
4.365e-02  1.096e-03  2.445e-13  
4.786e-02  1.096e-03  7.130e-15  
5.248e-02  1.096e-03  1.438e-16  
5.754e-02  1.096e-03  1.933e-18  
6.310e-02  1.096e-03  1.667e-20  
6.918e-02  1.096e-03  8.830e-23  
7.586e-02  1.096e-03  2.740e-25  
8.318e-02  1.096e-03  4.731e-28  
9.120e-02  1.096e-03  4.294e-31  
1.000e-01  1.096e-03  1.925e-34  
1.096e-01  1.096e-03  3.981e-38  
1.202e-01  1.096e-03  3.525e-42  
1.318e-01  1.096e-03  1.231e-46  
1.445e-01  1.096e-03  1.550e-51  
1.585e-01  1.096e-03  6.380e-57  
1.738e-01  1.096e-03  7.699e-63  
1.905e-01  1.096e-03  2.420e-69  
2.089e-01  1.096e-03  1.741e-76  
2.291e-01  1.096e-03  2.485e-84  
2.512e-01  1.096e-03  6.022e-93  
2.754e-01  1.096e-03  2.088e-102  
3.020e-01  1.096e-03  8.581e-113  
3.311e-01  1.096e-03  3.405e-124  
3.631e-01  1.096e-03  1.041e-136  
3.981e-01  1.096e-03  1.913e-150  
4.365e-01  1.096e-03  1.613e-165  
4.786e-01  1.096e-03  4.634e-182  
5.248e-01  1.096e-03  3.272e-200  
5.754e-01  1.096e-03  3.973e-220  
6.310e-01  1.096e-03  5.605e-242  
6.918e-01  1.096e-03  5.976e-266  
7.586e-01  1.096e-03  0.000e+00  
8.318e-01  1.096e-03  0.000e+00  
9.120e-01  1.096e-03  0.000e+00  
1.000e+00  1.096e-03  0.000e+00  
1.000e-04  1.202e-03  5.947e-01  
1.096e-04  1.202e-03  6.497e-01  
1.202e-04  1.202e-03  7.093e-01  
1.318e-04  1.202e-03  7.739e-01  
1.445e-04  1.202e-03  8.437e-01  
1.585e-04  1.202e-03  9.191e-01  
1.738e-04  1.202e-03  1.000e+00  
1.905e-04  1.202e-03  1.087e+00  
2.089e-04  1.202e-03  1.181e+00  
2.291e-04  1.202e-03  1.281e+00  
2.512e-04  1.202e-03  1.388e+00  
2.754e-04  1.202e-03  1.501e+00  
3.020e-04  1.202e-03  1.621e+00  
3.311e-04  1.202e-03  1.748e+00  
3.631e-04  1.202e-03  1.881e+00  
3.981e-04  1.202e-03  2.020e+00  
4.365e-04  1.202e-03  2.165e+00  
4.786e-04  1.202e-03  2.315e+00  
5.248e-04  1.202e-03  2.469e+00  
5.754e-04  1.202e-03  2.625e+00  
6.310e-04  1.202e-03  2.783e+00  
6.918e-04  1.202e-03  2.940e+00  
7.586e-04  1.202e-03  3.094e+00  
8.318e-04  1.202e-03  3.244e+00  
9.120e-04  1.202e-03  3.385e+00  
1.000e-03  1.202e-03  3.516e+00  
1.096e-03  1.202e-03  3.632e+00  
1.202e-03  1.202e-03  3.730e+00  
1.318e-03  1.202e-03  3.807e+00  
1.445e-03  1.202e-03  3.859e+00  
1.585e-03  1.202e-03  3.881e+00  
1.738e-03  1.202e-03  3.872e+00  
1.905e-03  1.202e-03  3.827e+00  
2.089e-03  1.202e-03  3.744e+00  
2.291e-03  1.202e-03  3.623e+00  
2.512e-03  1.202e-03  3.464e+00  
2.754e-03  1.202e-03  3.268e+00  
3.020e-03  1.202e-03  3.038e+00  
3.311e-03  1.202e-03  2.778e+00  
3.631e-03  1.202e-03  2.495e+00  
3.981e-03  1.202e-03  2.198e+00  
4.365e-03  1.202e-03  1.894e+00  
4.786e-03  1.202e-03  1.592e+00  
5.248e-03  1.202e-03  1.303e+00  
5.754e-03  1.202e-03  1.035e+00  
6.310e-03  1.202e-03  7.949e-01  
6.918e-03  1.202e-03  5.882e-01  
7.586e-03  1.202e-03  4.172e-01  
8.318e-03  1.202e-03  2.828e-01  
9.120e-03  1.202e-03  1.820e-01  
1.000e-02  1.202e-03  1.106e-01  
1.096e-02  1.202e-03  6.296e-02  
1.202e-02  1.202e-03  3.343e-02  
1.318e-02  1.202e-03  1.641e-02  
1.445e-02  1.202e-03  7.374e-03  
1.585e-02  1.202e-03  3.007e-03  
1.738e-02  1.202e-03  1.103e-03  
1.905e-02  1.202e-03  3.596e-04  
2.089e-02  1.202e-03  1.029e-04  
2.291e-02  1.202e-03  2.555e-05  
2.512e-02  1.202e-03  5.483e-06  
2.754e-02  1.202e-03  1.048e-06  
3.020e-02  1.202e-03  1.682e-07  
3.311e-02  1.202e-03  2.005e-08  
3.631e-02  1.202e-03  1.896e-09  
3.981e-02  1.202e-03  1.390e-10  
4.365e-02  1.202e-03  7.712e-12  
4.786e-02  1.202e-03  3.149e-13  
5.248e-02  1.202e-03  9.185e-15  
5.754e-02  1.202e-03  1.852e-16  
6.310e-02  1.202e-03  2.491e-18  
6.918e-02  1.202e-03  2.149e-20  
7.586e-02  1.202e-03  1.138e-22  
8.318e-02  1.202e-03  3.533e-25  
9.120e-02  1.202e-03  6.101e-28  
1.000e-01  1.202e-03  5.538e-31  
1.096e-01  1.202e-03  2.483e-34  
1.202e-01  1.202e-03  5.135e-38  
1.318e-01  1.202e-03  4.548e-42  
1.445e-01  1.202e-03  1.589e-46  
1.585e-01  1.202e-03  2.001e-51  
1.738e-01  1.202e-03  8.234e-57  
1.905e-01  1.202e-03  9.937e-63  
2.089e-01  1.202e-03  3.124e-69  
2.291e-01  1.202e-03  2.247e-76  
2.512e-01  1.202e-03  3.208e-84  
2.754e-01  1.202e-03  7.774e-93  
3.020e-01  1.202e-03  2.695e-102  
3.311e-01  1.202e-03  1.108e-112  
3.631e-01  1.202e-03  4.396e-124  
3.981e-01  1.202e-03  1.344e-136  
4.365e-01  1.202e-03  2.470e-150  
4.786e-01  1.202e-03  2.083e-165  
5.248e-01  1.202e-03  5.983e-182  
5.754e-01  1.202e-03  4.225e-200  
6.310e-01  1.202e-03  5.130e-220  
6.918e-01  1.202e-03  7.237e-242  
7.586e-01  1.202e-03  7.717e-266  
8.318e-01  1.202e-03  0.000e+00  
9.120e-01  1.202e-03  0.000e+00  
1.000e+00  1.202e-03  0.000e+00  
1.000e-04  1.318e-03  6.608e-01  
1.096e-04  1.318e-03  7.222e-01  
1.202e-04  1.318e-03  7.888e-01  
1.318e-04  1.318e-03  8.610e-01  
1.445e-04  1.318e-03  9.392e-01  
1.585e-04  1.318e-03  1.024e+00  
1.738e-04  1.318e-03  1.115e+00  
1.905e-04  1.318e-03  1.213e+00  
2.089e-04  1.318e-03  1.319e+00  
2.291e-04  1.318e-03  1.432e+00  
2.512e-04  1.318e-03  1.553e+00  
2.754e-04  1.318e-03  1.682e+00  
3.020e-04  1.318e-03  1.819e+00  
3.311e-04  1.318e-03  1.965e+00  
3.631e-04  1.318e-03  2.119e+00  
3.981e-04  1.318e-03  2.280e+00  
4.365e-04  1.318e-03  2.449e+00  
4.786e-04  1.318e-03  2.625e+00  
5.248e-04  1.318e-03  2.808e+00  
5.754e-04  1.318e-03  2.995e+00  
6.310e-04  1.318e-03  3.186e+00  
6.918e-04  1.318e-03  3.378e+00  
7.586e-04  1.318e-03  3.570e+00  
8.318e-04  1.318e-03  3.760e+00  
9.120e-04  1.318e-03  3.944e+00  
1.000e-03  1.318e-03  4.119e+00  
1.096e-03  1.318e-03  4.281e+00  
1.202e-03  1.318e-03  4.427e+00  
1.318e-03  1.318e-03  4.552e+00  
1.445e-03  1.318e-03  4.651e+00  
1.585e-03  1.318e-03  4.720e+00  
1.738e-03  1.318e-03  4.754e+00  
1.905e-03  1.318e-03  4.748e+00  
2.089e-03  1.318e-03  4.700e+00  
2.291e-03  1.318e-03  4.606e+00  
2.512e-03  1.318e-03  4.464e+00  
2.754e-03  1.318e-03  4.275e+00  
3.020e-03  1.318e-03  4.040e+00  
3.311e-03  1.318e-03  3.761e+00  
3.631e-03  1.318e-03  3.446e+00  
3.981e-03  1.318e-03  3.101e+00  
4.365e-03  1.318e-03  2.736e+00  
4.786e-03  1.318e-03  2.361e+00  
5.248e-03  1.318e-03  1.989e+00  
5.754e-03  1.318e-03  1.630e+00  
6.310e-03  1.318e-03  1.297e+00  
6.918e-03  1.318e-03  9.978e-01  
7.586e-03  1.318e-03  7.389e-01  
8.318e-03  1.318e-03  5.253e-01  
9.120e-03  1.318e-03  3.565e-01  
1.000e-02  1.318e-03  2.297e-01  
1.096e-02  1.318e-03  1.396e-01  
1.202e-02  1.318e-03  7.966e-02  
1.318e-02  1.318e-03  4.233e-02  
1.445e-02  1.318e-03  2.078e-02  
1.585e-02  1.318e-03  9.342e-03  
1.738e-02  1.318e-03  3.817e-03  
1.905e-02  1.318e-03  1.401e-03  
2.089e-02  1.318e-03  4.568e-04  
2.291e-02  1.318e-03  1.308e-04  
2.512e-02  1.318e-03  3.250e-05  
2.754e-02  1.318e-03  6.978e-06  
3.020e-02  1.318e-03  1.336e-06  
3.311e-02  1.318e-03  2.156e-07  
3.631e-02  1.318e-03  2.571e-08  
3.981e-02  1.318e-03  2.432e-09  
4.365e-02  1.318e-03  1.784e-10  
4.786e-02  1.318e-03  9.899e-12  
5.248e-02  1.318e-03  4.043e-13  
5.754e-02  1.318e-03  1.180e-14  
6.310e-02  1.318e-03  2.379e-16  
6.918e-02  1.318e-03  3.201e-18  
7.586e-02  1.318e-03  2.761e-20  
8.318e-02  1.318e-03  1.463e-22  
9.120e-02  1.318e-03  4.542e-25  
1.000e-01  1.318e-03  7.844e-28  
1.096e-01  1.318e-03  7.120e-31  
1.202e-01  1.318e-03  3.193e-34  
1.318e-01  1.318e-03  6.605e-38  
1.445e-01  1.318e-03  5.849e-42  
1.585e-01  1.318e-03  2.044e-46  
1.738e-01  1.318e-03  2.574e-51  
1.905e-01  1.318e-03  1.059e-56  
2.089e-01  1.318e-03  1.278e-62  
2.291e-01  1.318e-03  4.020e-69  
2.512e-01  1.318e-03  2.892e-76  
2.754e-01  1.318e-03  4.128e-84  
3.020e-01  1.318e-03  1.000e-92  
3.311e-01  1.318e-03  3.468e-102  
3.631e-01  1.318e-03  1.426e-112  
3.981e-01  1.318e-03  5.658e-124  
4.365e-01  1.318e-03  1.729e-136  
4.786e-01  1.318e-03  3.180e-150  
5.248e-01  1.318e-03  2.681e-165  
5.754e-01  1.318e-03  7.701e-182  
6.310e-01  1.318e-03  5.438e-200  
6.918e-01  1.318e-03  6.603e-220  
7.586e-01  1.318e-03  9.315e-242  
8.318e-01  1.318e-03  9.933e-266  
9.120e-01  1.318e-03  0.000e+00  
1.000e+00  1.318e-03  0.000e+00  
1.000e-04  1.445e-03  7.334e-01  
1.096e-04  1.445e-03  8.018e-01  
1.202e-04  1.445e-03  8.760e-01  
1.318e-04  1.445e-03  9.566e-01  
1.445e-04  1.445e-03  1.044e+00  
1.585e-04  1.445e-03  1.139e+00  
1.738e-04  1.445e-03  1.241e+00  
1.905e-04  1.445e-03  1.351e+00  
2.089e-04  1.445e-03  1.470e+00  
2.291e-04  1.445e-03  1.598e+00  
2.512e-04  1.445e-03  1.735e+00  
2.754e-04  1.445e-03  1.881e+00  
3.020e-04  1.445e-03  2.037e+00  
3.311e-04  1.445e-03  2.203e+00  
3.631e-04  1.445e-03  2.380e+00  
3.981e-04  1.445e-03  2.566e+00  
4.365e-04  1.445e-03  2.762e+00  
4.786e-04  1.445e-03  2.967e+00  
5.248e-04  1.445e-03  3.181e+00  
5.754e-04  1.445e-03  3.402e+00  
6.310e-04  1.445e-03  3.630e+00  
6.918e-04  1.445e-03  3.863e+00  
7.586e-04  1.445e-03  4.098e+00  
8.318e-04  1.445e-03  4.333e+00  
9.120e-04  1.445e-03  4.566e+00  
1.000e-03  1.445e-03  4.792e+00  
1.096e-03  1.445e-03  5.009e+00  
1.202e-03  1.445e-03  5.210e+00  
1.318e-03  1.445e-03  5.393e+00  
1.445e-03  1.445e-03  5.550e+00  
1.585e-03  1.445e-03  5.677e+00  
1.738e-03  1.445e-03  5.768e+00  
1.905e-03  1.445e-03  5.817e+00  
2.089e-03  1.445e-03  5.818e+00  
2.291e-03  1.445e-03  5.767e+00  
2.512e-03  1.445e-03  5.659e+00  
2.754e-03  1.445e-03  5.494e+00  
3.020e-03  1.445e-03  5.269e+00  
3.311e-03  1.445e-03  4.987e+00  
3.631e-03  1.445e-03  4.651e+00  
3.981e-03  1.445e-03  4.268e+00  
4.365e-03  1.445e-03  3.847e+00  
4.786e-03  1.445e-03  3.400e+00  
5.248e-03  1.445e-03  2.939e+00  
5.754e-03  1.445e-03  2.479e+00  
6.310e-03  1.445e-03  2.036e+00  
6.918e-03  1.445e-03  1.622e+00  
7.586e-03  1.445e-03  1.249e+00  
8.318e-03  1.445e-03  9.270e-01  
9.120e-03  1.445e-03  6.599e-01  
1.000e-02  1.445e-03  4.484e-01  
1.096e-02  1.445e-03  2.890e-01  
1.202e-02  1.445e-03  1.760e-01  
1.318e-02  1.445e-03  1.005e-01  
1.445e-02  1.445e-03  5.347e-02  
1.585e-02  1.445e-03  2.625e-02  
1.738e-02  1.445e-03  1.182e-02  
1.905e-02  1.445e-03  4.833e-03  
2.089e-02  1.445e-03  1.775e-03  
2.291e-02  1.445e-03  5.787e-04  
2.512e-02  1.445e-03  1.658e-04  
2.754e-02  1.445e-03  4.125e-05  
3.020e-02  1.445e-03  8.859e-06  
3.311e-02  1.445e-03  1.698e-06  
3.631e-02  1.445e-03  2.757e-07  
3.981e-02  1.445e-03  3.288e-08  
4.365e-02  1.445e-03  3.111e-09  
4.786e-02  1.445e-03  2.283e-10  
5.248e-02  1.445e-03  1.267e-11  
5.754e-02  1.445e-03  5.176e-13  
6.310e-02  1.445e-03  1.511e-14  
6.918e-02  1.445e-03  3.047e-16  
7.586e-02  1.445e-03  4.100e-18  
8.318e-02  1.445e-03  3.538e-20  
9.120e-02  1.445e-03  1.875e-22  
1.000e-01  1.445e-03  5.821e-25  
1.096e-01  1.445e-03  1.005e-27  
1.202e-01  1.445e-03  9.128e-31  
1.318e-01  1.445e-03  4.093e-34  
1.445e-01  1.445e-03  8.469e-38  
1.585e-01  1.445e-03  7.501e-42  
1.738e-01  1.445e-03  2.621e-46  
1.905e-01  1.445e-03  3.301e-51  
2.089e-01  1.445e-03  1.359e-56  
2.291e-01  1.445e-03  1.640e-62  
2.512e-01  1.445e-03  5.157e-69  
2.754e-01  1.445e-03  3.710e-76  
3.020e-01  1.445e-03  5.296e-84  
3.311e-01  1.445e-03  1.284e-92  
3.631e-01  1.445e-03  4.450e-102  
3.981e-01  1.445e-03  1.829e-112  
4.365e-01  1.445e-03  7.259e-124  
4.786e-01  1.445e-03  2.219e-136  
5.248e-01  1.445e-03  4.080e-150  
5.754e-01  1.445e-03  3.440e-165  
6.310e-01  1.445e-03  9.882e-182  
6.918e-01  1.445e-03  6.978e-200  
7.586e-01  1.445e-03  8.473e-220  
8.318e-01  1.445e-03  1.195e-241  
9.120e-01  1.445e-03  1.275e-265  
1.000e+00  1.445e-03  0.000e+00  
1.000e-04  1.585e-03  8.127e-01  
1.096e-04  1.585e-03  8.887e-01  
1.202e-04  1.585e-03  9.715e-01  
1.318e-04  1.585e-03  1.061e+00  
1.445e-04  1.585e-03  1.159e+00  
1.585e-04  1.585e-03  1.265e+00  
1.738e-04  1.585e-03  1.379e+00  
1.905e-04  1.585e-03  1.503e+00  
2.089e-04  1.585e-03  1.636e+00  
2.291e-04  1.585e-03  1.779e+00  
2.512e-04  1.585e-03  1.934e+00  
2.754e-04  1.585e-03  2.099e+00  
3.020e-04  1.585e-03  2.276e+00  
3.311e-04  1.585e-03  2.465e+00  
3.631e-04  1.585e-03  2.666e+00  
3.981e-04  1.585e-03  2.880e+00  
4.365e-04  1.585e-03  3.105e+00  
4.786e-04  1.585e-03  3.343e+00  
5.248e-04  1.585e-03  3.592e+00  
5.754e-04  1.585e-03  3.851e+00  
6.310e-04  1.585e-03  4.120e+00  
6.918e-04  1.585e-03  4.398e+00  
7.586e-04  1.585e-03  4.681e+00  
8.318e-04  1.585e-03  4.968e+00  
9.120e-04  1.585e-03  5.256e+00  
1.000e-03  1.585e-03  5.541e+00  
1.096e-03  1.585e-03  5.820e+00  
1.202e-03  1.585e-03  6.087e+00  
1.318e-03  1.585e-03  6.337e+00  
1.445e-03  1.585e-03  6.565e+00  
1.585e-03  1.585e-03  6.763e+00  
1.738e-03  1.585e-03  6.925e+00  
1.905e-03  1.585e-03  7.043e+00  
2.089e-03  1.585e-03  7.111e+00  
2.291e-03  1.585e-03  7.121e+00  
2.512e-03  1.585e-03  7.068e+00  
2.754e-03  1.585e-03  6.946e+00  
3.020e-03  1.585e-03  6.752e+00  
3.311e-03  1.585e-03  6.486e+00  
3.631e-03  1.585e-03  6.148e+00  
3.981e-03  1.585e-03  5.742e+00  
4.365e-03  1.585e-03  5.278e+00  
4.786e-03  1.585e-03  4.766e+00  
5.248e-03  1.585e-03  4.218e+00  
5.754e-03  1.585e-03  3.652e+00  
6.310e-03  1.585e-03  3.087e+00  
6.918e-03  1.585e-03  2.539e+00  
7.586e-03  1.585e-03  2.025e+00  
8.318e-03  1.585e-03  1.562e+00  
9.120e-03  1.585e-03  1.161e+00  
1.000e-02  1.585e-03  8.274e-01  
1.096e-02  1.585e-03  5.625e-01  
1.202e-02  1.585e-03  3.632e-01  
1.318e-02  1.585e-03  2.214e-01  
1.445e-02  1.585e-03  1.266e-01  
1.585e-02  1.585e-03  6.733e-02  
1.738e-02  1.585e-03  3.312e-02  
1.905e-02  1.585e-03  1.493e-02  
2.089e-02  1.585e-03  6.105e-03  
2.291e-02  1.585e-03  2.241e-03  
2.512e-02  1.585e-03  7.320e-04  
2.754e-02  1.585e-03  2.099e-04  
3.020e-02  1.585e-03  5.222e-05  
3.311e-02  1.585e-03  1.122e-05  
3.631e-02  1.585e-03  2.153e-06  
3.981e-02  1.585e-03  3.515e-07  
4.365e-02  1.585e-03  4.194e-08  
4.786e-02  1.585e-03  3.969e-09  
5.248e-02  1.585e-03  2.913e-10  
5.754e-02  1.585e-03  1.617e-11  
6.310e-02  1.585e-03  6.609e-13  
6.918e-02  1.585e-03  1.929e-14  
7.586e-02  1.585e-03  3.893e-16  
8.318e-02  1.585e-03  5.239e-18  
9.120e-02  1.585e-03  4.521e-20  
1.000e-01  1.585e-03  2.396e-22  
1.096e-01  1.585e-03  7.441e-25  
1.202e-01  1.585e-03  1.285e-27  
1.318e-01  1.585e-03  1.167e-30  
1.445e-01  1.585e-03  5.234e-34  
1.585e-01  1.585e-03  1.083e-37  
1.738e-01  1.585e-03  9.593e-42  
1.905e-01  1.585e-03  3.352e-46  
2.089e-01  1.585e-03  4.222e-51  
2.291e-01  1.585e-03  1.738e-56  
2.512e-01  1.585e-03  2.098e-62  
2.754e-01  1.585e-03  6.596e-69  
3.020e-01  1.585e-03  4.746e-76  
3.311e-01  1.585e-03  6.776e-84  
3.631e-01  1.585e-03  1.642e-92  
3.981e-01  1.585e-03  5.693e-102  
4.365e-01  1.585e-03  2.341e-112  
4.786e-01  1.585e-03  9.288e-124  
5.248e-01  1.585e-03  2.839e-136  
5.754e-01  1.585e-03  5.220e-150  
6.310e-01  1.585e-03  4.402e-165  
6.918e-01  1.585e-03  1.264e-181  
